epochs,training,validation
1.0000,0.6886,0.7023
2.0000,0.6845,0.7020
3.0000,0.6785,0.6926
4.0000,0.6657,0.6806
5.0000,0.6442,0.6640
6.0000,0.6129,0.6501
7.0000,0.5897,0.6570
8.0000,0.5777,0.6598
9.0000,0.5689,0.6538
10.0000,0.5618,0.6558
11.0000,0.5573,0.6731
12.0000,0.5553,0.6722
13.0000,0.5493,0.6652
14.0000,0.5471,0.6706
15.0000,0.5440,0.6889
16.0000,0.5430,0.6702
17.0000,0.5373,0.6914
18.0000,0.5351,0.6936
19.0000,0.5341,0.6805
20.0000,0.5324,0.6824
21.0000,0.5286,0.6992
22.0000,0.5281,0.7015
23.0000,0.5247,0.7051
24.0000,0.5227,0.6964
25.0000,0.5224,0.7100
26.0000,0.5205,0.6964
27.0000,0.5144,0.7216
28.0000,0.5156,0.7183
29.0000,0.5117,0.7512
30.0000,0.5094,0.7274
31.0000,0.5097,0.7142
32.0000,0.5072,0.7404
33.0000,0.5063,0.7274
34.0000,0.5030,0.7283
35.0000,0.5013,0.7315
36.0000,0.5009,0.7379
37.0000,0.4988,0.7267
38.0000,0.4977,0.7607
39.0000,0.4943,0.7198
40.0000,0.4922,0.7421
41.0000,0.4902,0.7589
42.0000,0.4891,0.7535
43.0000,0.4849,0.7663
44.0000,0.4825,0.7424
45.0000,0.4798,0.7724
46.0000,0.4778,0.7586
47.0000,0.4755,0.7874
48.0000,0.4723,0.7674
49.0000,0.4707,0.8092
50.0000,0.4702,0.7813
51.0000,0.4629,0.8345
52.0000,0.4621,0.8100
53.0000,0.4592,0.7992
54.0000,0.4562,0.8071
55.0000,0.4528,0.8055
56.0000,0.4531,0.8150
57.0000,0.4474,0.8027
58.0000,0.4419,0.8373
59.0000,0.4403,0.8526
60.0000,0.4355,0.8749
61.0000,0.4279,0.8707
62.0000,0.4275,0.8492
63.0000,0.4210,0.8398
64.0000,0.4175,0.9033
65.0000,0.4124,0.9524
66.0000,0.4072,0.8550
67.0000,0.4022,0.8719
68.0000,0.4014,0.9190
69.0000,0.3946,0.9334
70.0000,0.3881,0.9265
71.0000,0.3815,0.9020
72.0000,0.3769,0.9015
73.0000,0.3694,0.9679
74.0000,0.3669,1.0321
75.0000,0.3599,0.9698
76.0000,0.3524,1.0268
