epochs,training,validation
1.0000,0.6951,0.6895
2.0000,0.6953,0.6899
3.0000,0.6956,0.6916
4.0000,0.6955,0.6900
5.0000,0.6955,0.6905
6.0000,0.6952,0.6894
7.0000,0.6954,0.6894
8.0000,0.6949,0.6894
9.0000,0.6953,0.6893
10.0000,0.6952,0.6896
11.0000,0.6950,0.6892
12.0000,0.6949,0.6892
13.0000,0.6950,0.6896
14.0000,0.6945,0.6891
15.0000,0.6949,0.6889
16.0000,0.6946,0.6892
17.0000,0.6944,0.6885
18.0000,0.6944,0.6889
19.0000,0.6944,0.6883
20.0000,0.6943,0.6894
21.0000,0.6937,0.6879
22.0000,0.6931,0.6885
23.0000,0.6934,0.6905
24.0000,0.6928,0.6874
25.0000,0.6929,0.6872
26.0000,0.6928,0.6868
27.0000,0.6923,0.6866
28.0000,0.6919,0.6857
29.0000,0.6916,0.6851
30.0000,0.6915,0.6847
31.0000,0.6903,0.6853
32.0000,0.6904,0.6837
33.0000,0.6899,0.6833
34.0000,0.6889,0.6836
35.0000,0.6885,0.6815
36.0000,0.6875,0.6806
37.0000,0.6889,0.6806
38.0000,0.6861,0.6790
39.0000,0.6857,0.6781
40.0000,0.6852,0.6771
41.0000,0.6843,0.6775
42.0000,0.6838,0.6750
43.0000,0.6832,0.6758
44.0000,0.6826,0.6734
45.0000,0.6810,0.6728
46.0000,0.6809,0.6706
47.0000,0.6800,0.6692
48.0000,0.6789,0.6688
49.0000,0.6784,0.6669
50.0000,0.6790,0.6659
51.0000,0.6773,0.6646
52.0000,0.6765,0.6641
53.0000,0.6747,0.6623
54.0000,0.6743,0.6619
55.0000,0.6716,0.6604
56.0000,0.6737,0.6608
57.0000,0.6731,0.6581
58.0000,0.6721,0.6582
59.0000,0.6731,0.6563
60.0000,0.6724,0.6575
61.0000,0.6719,0.6603
62.0000,0.6717,0.6540
63.0000,0.6700,0.6542
64.0000,0.6693,0.6521
65.0000,0.6705,0.6521
66.0000,0.6668,0.6504
67.0000,0.6691,0.6506
68.0000,0.6675,0.6495
69.0000,0.6681,0.6485
70.0000,0.6678,0.6482
71.0000,0.6690,0.6475
72.0000,0.6668,0.6474
73.0000,0.6674,0.6476
74.0000,0.6669,0.6464
75.0000,0.6643,0.6458
76.0000,0.6660,0.6473
77.0000,0.6681,0.6473
78.0000,0.6654,0.6455
79.0000,0.6653,0.6440
80.0000,0.6620,0.6437
81.0000,0.6641,0.6432
82.0000,0.6643,0.6445
83.0000,0.6619,0.6429
84.0000,0.6613,0.6419
85.0000,0.6642,0.6415
86.0000,0.6641,0.6430
87.0000,0.6628,0.6413
88.0000,0.6626,0.6408
89.0000,0.6648,0.6406
90.0000,0.6622,0.6401
91.0000,0.6620,0.6398
92.0000,0.6620,0.6400
93.0000,0.6624,0.6403
94.0000,0.6588,0.6423
95.0000,0.6616,0.6392
96.0000,0.6605,0.6387
97.0000,0.6589,0.6381
98.0000,0.6601,0.6379
99.0000,0.6587,0.6377
100.0000,0.6601,0.6376
101.0000,0.6565,0.6373
102.0000,0.6577,0.6371
103.0000,0.6585,0.6369
104.0000,0.6609,0.6380
105.0000,0.6569,0.6364
106.0000,0.6615,0.6365
107.0000,0.6591,0.6366
108.0000,0.6603,0.6389
109.0000,0.6597,0.6385
110.0000,0.6594,0.6360
111.0000,0.6585,0.6365
112.0000,0.6588,0.6358
113.0000,0.6590,0.6358
114.0000,0.6558,0.6356
115.0000,0.6602,0.6355
116.0000,0.6580,0.6358
117.0000,0.6595,0.6356
118.0000,0.6594,0.6353
119.0000,0.6586,0.6355
120.0000,0.6596,0.6375
121.0000,0.6580,0.6358
122.0000,0.6574,0.6349
123.0000,0.6588,0.6349
124.0000,0.6572,0.6360
125.0000,0.6580,0.6348
126.0000,0.6567,0.6347
127.0000,0.6570,0.6359
128.0000,0.6573,0.6348
129.0000,0.6570,0.6345
130.0000,0.6572,0.6352
131.0000,0.6574,0.6342
132.0000,0.6548,0.6339
133.0000,0.6557,0.6439
134.0000,0.6576,0.6344
135.0000,0.6534,0.6351
136.0000,0.6570,0.6333
137.0000,0.6561,0.6377
138.0000,0.6584,0.6336
139.0000,0.6575,0.6334
140.0000,0.6538,0.6332
